Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-09-23,181.6100006103516,6782400,0.23,0.25,0.25,1.0,5.00525125,1.765911177502642,5.6714955218004075,4.685862275334879,27.89148461990574
2020-09-24,182.19000244140625,7374500,0.23,0.25,0.25,1.0,4.999999999999999,1.765911177502642,8.046546718074786,4.780718666425924,27.89148461990574
2020-09-25,187.25,7606500,0.23,0.25,0.25,1.0,4.999999999999999,1.765911177502642,2.3551421426485315,2.8945250568466285,27.89148461990574
2020-09-28,192.0200042724609,7590600,0.23,0.25,0.25,1.0,4.999999999999999,1.765911177502642,1.3488158943146806,4.582857439827647,27.89148461990574
2020-09-29,194.5,6732600,0.23,0.25,0.25,1.0,4.999999999999999,1.765911177502642,-0.7403611523939735,5.912596401028278,27.89148461990574
2020-09-30,197.02999877929688,7939600,0.23,0.25,0.25,1.0,4.999999999999999,1.765911177502642,0.12181165033294053,8.846372655208985,27.89148461990574
2020-10-01,196.94000244140625,7268900,0.23,0.25,0.25,1.0,4.999999999999999,1.765911177502642,2.320499649018428,7.33725843866655,27.89148461990574
2020-10-02,191.91000366210938,6546400,0.23,0.25,0.25,1.0,4.999999999999999,1.765911177502642,8.24865902192684,11.573128566128652,27.89148461990574
2020-10-05,196.8500061035156,5024100,0.23,0.25,0.25,1.0,4.999999999999999,1.765911177502642,3.429006751694202,10.002533183698777,27.89148461990574
2020-10-06,191.66000366210938,5921800,0.23,0.25,0.25,1.0,4.999999999999999,23.607789444444446,5.989771213705045,10.90472372802955,27.89148461990574
2020-10-07,194.6100006103516,4228700,0.23,0.25,0.25,1.0,4.999999999999999,23.10259388888889,5.056264481285446,10.24099101447776,27.89148461990574
2020-10-08,193.05999755859372,5582600,0.23,0.25,0.25,1.0,4.999999999999999,22.603876111111113,3.62581585440842,12.799133443668309,27.89148461990574
2020-10-09,197.2700042724609,7082400,0.23,0.25,0.25,1.0,4.999999999999999,22.111636111111114,2.377453408947387,10.472949741910913,27.89148461990574
2020-10-12,201.50999450683597,10603200,0.23,0.25,0.25,1.0,4.999999999999999,21.62587388888889,5.736694522608716,7.657192375163725,27.89148461990574
2020-10-13,207.7400054931641,8145300,0.23,0.25,0.25,1.0,4.999999999999999,21.14658944444444,-1.8340294197730793,1.472993875844686,27.89148461990574
2020-10-14,203.6000061035156,8588100,0.23,0.25,0.25,1.0,4.999999999999999,20.673782777777777,-0.2750554030426005,5.766203282138464,27.89148461990574
2020-10-15,203.13999938964844,7626700,0.23,0.25,0.25,1.0,4.999999999999999,20.20745388888889,-2.914245439958873,5.375602147167154,27.89148461990574
2020-10-16,204.4499969482422,9662200,0.23,1.4227,0.355675,1.02641875,5.002641874999999,19.748776944444447,-1.9662530361781454,7.992172453799156,27.89148461990574
